YEAR,FIRMNAME,FIVEFIRMID,FIRMID,CUSIPHEADERID,CUSIPHeaderName,CUSIPHISTORYID,CUSIPHistoryName,FOUND,FATE,ESTATE,SALES,EMPLOY,ZIP,LAT,LON,RANDD,PRODUCTS,PTYPES,SYSTEM,GRAPHIC,CEO,OWN,CPU,OS,APPS,COMM,MONITOR,DISK,MEMORY,BOARD
1987,Accent Systems Corp.,1,1,,,,,1985,Acquired by S.A.Y. Industries,1,4700000,30,15213,0.7058759927749630,-1.39546799659729,,0,3,0,1,Kelly T. Hickel,0,0,1,1,0,0,0,0,0
1982,"Adage, Inc.",2,2,,,,,1957,,0,25779000,,1821,0.742671012878418,-1.2435790300369300,1923000,0,1,0,1,Richard N. Spann,0,0,0,0,0,0,0,0,0
1983,"Adage, Inc.",2,2,,,,,1957,,0,35786000,,1821,0.742671012878418,-1.2435790300369300,3632000,0,1,0,1,Richard N. Spann,1,0,0,0,0,0,0,0,0
1984,"Adage, Inc.",2,2,,,,,1957,,0,49443000,,1821,0.742671012878418,-1.2435790300369300,5460000,0,1,0,1,Richard N. Spann,1,0,0,1,0,0,0,0,0
1985,"Adage, Inc.",2,2,,,,,1957,,0,42674000,,1821,0.742671012878418,-1.2435790300369300,6020000,0,1,0,1,Richard N. Spann,1,0,1,1,0,0,0,0,0
1986,"Adage, Inc.",2,2,,,,,1957,,0,37050000,570,1821,0.742671012878418,-1.2435790300369300,6977000,0,1,0,1,Richard N. Spann,1,0,0,1,0,0,0,0,0
1987,"Adage, Inc.",2,2,,,,,1957,,0,42527000,425,1821,0.742671012878418,-1.2435790300369300,7551000,0,2,0,1,Richard N. Spann,1,0,0,1,0,0,0,0,0
1988,"Adage, Inc.",2,2,,,,,1957,,0,38088000,320,1821,0.742671012878418,-1.2435790300369300,5986000,0,1,0,1,James D. Norrod,1,0,0,1,0,0,0,0,0
1989,"Adage, Inc.",2,2,,,,,1957,,0,21038000,320,1821,0.742671012878418,-1.2435790300369300,4082000,8,1,0,1,James D. Norrod,1,0,0,1,0,0,0,0,0
1990,"Adage, Inc.",2,2,,,,,1957,,1,37050000,90,1821,0.742671012878418,-1.2435790300369300,,5,1,0,1,James D. Norrod,1,0,0,1,0,0,0,0,0
1987,"Adra Systems, Inc.",3,3,,,,,1983,,0,5000000,85,1851,0.7440609931945800,-1.244994044303890,,1,1,0,1,William T. Mason,0,0,0,0,0,0,0,0,0
1988,"Adra Systems, Inc.",3,3,,,,,1983,,0,6597539.5,85,1851,0.7440609931945800,-1.244994044303890,,1,2,0,1,William T. Mason,0,0,0,1,0,0,0,0,0
1989,"Adra Systems, Inc.",3,3,,,,,1983,,0,8705506,85,1851,0.7440609931945800,-1.244994044303890,,1,2,0,1,William T. Mason,0,0,0,1,0,0,0,0,0
1990,"Adra Systems, Inc.",3,3,,,,,1983,,0,11486984,110,1851,0.7440609931945800,-1.244994044303890,,2,2,0,1,William T. Mason,0,0,0,1,0,0,0,0,0
1991,"Adra Systems, Inc.",3,3,,,,,1983,,0,15157166,110,1851,0.7440609931945800,-1.244994044303890,,2,2,0,1,William T. Mason,0,0,0,1,0,0,0,0,0
1992,"Adra Systems, Inc.",3,3,,,,,1983,Shifted to software only,1,20000000,110,1851,0.7440609931945800,-1.244994044303890,,1,2,0,1,William T. Mason,0,0,0,1,0,0,0,0,0
1992,"Advanced Processing Laboratories, Inc.",4,4,,,,,1985,,0,4000000,35,92121,0.574072003364563,-2.0455870628356900,,3,1,1,0,Mark McMillen,0,0,0,0,0,0,0,0,0
1993,"Advanced Processing Laboratories, Inc.",4,4,,,,,1985,,0,6000000,35,92121,0.574072003364563,-2.0455870628356900,,3,1,1,0,Mark McMillen,0,0,0,0,0,0,0,0,0
1994,"Advanced Processing Laboratories, Inc.",4,4,,,,,1985,,0,10000000,55,92121,0.574072003364563,-2.0455870628356900,,3,1,1,0,Mark McMillen,0,0,0,0,0,0,0,0,0
1995,"Advanced Processing Laboratories, Inc.",4,4,,,,,1985,,0,10000000,74,92121,0.574072003364563,-2.0455870628356900,,2,1,1,0,Mark McMillen,0,0,0,0,0,0,0,0,0
1996,"Advanced Processing Laboratories, Inc.",4,4,,,,,1985,,0,10000000,74,92121,0.574072003364563,-2.0455870628356900,,1,1,1,0,Dick Wauk,0,0,0,0,0,0,0,0,0
1992,Advanced Video Products/Megascan,5,5,,,,,1985,Acquired by E-systems,2,10000000,50,1460,0.7424650192260740,-1.247694969177250,,9,1,0,1,Thomas J. Goliash,0,0,0,0,0,0,0,0,0
1993,Advanced Video Products/Megascan,5,5,,,,,1985,,0,18000000,60,1460,0.7424650192260740,-1.247694969177250,,3,1,0,1,Thomas J. Goliash,2,0,0,0,0,0,0,0,0
1994,Advanced Video Products/Megascan,5,5,,,,,1985,,0,18000000,60,1886,0.7433350086212160,-1.2468310594558700,,2,1,0,1,Thomas J. Goliash,2,0,0,0,0,0,0,0,0
1995,Advanced Video Products/Megascan,5,5,,,,,1985,,1,18000000,60,1886,0.7433350086212160,-1.2468310594558700,,2,1,0,1,Thomas J. Goliash,2,0,0,0,0,0,0,0,0
1991,"Aesthedes, Inc.",6,6,,,,,1985,Acquired by Barco in 1989,2,1,,90501,0.5903890132904050,-2.0649309158325200,,1,1,0,1,Dominique F. Claessens,2,0,0,0,0,0,0,0,0
1992,"Aesthedes, Inc.",6,6,,,,,1985,,0,1,,90501,0.5903890132904050,-2.0649309158325200,,1,1,0,1,Dominique F. Claessens,2,0,0,0,0,0,0,0,0
1993,"Aesthedes, Inc.",6,6,,,,,1985,,1,1,,90501,0.5903890132904050,-2.0649309158325200,,1,1,0,1,Dominique F. Claessens,2,0,0,0,0,0,0,0,0
1989,Alliant Computer Systems Corp.,7,7,1880010,ALLIANT COMPUTER SYSTEMS CP,1880010,ALLIANT COMPUTER SYSTEMS CP,1982,,0,68379000,370,1460,0.7424650192260740,-1.247694969177250,11253000,0,3,1,1,Ronald Gruner,1,0,0,1,0,0,0,0,0
1990,Alliant Computer Systems Corp.,7,7,1880010,ALLIANT COMPUTER SYSTEMS CP,1880010,ALLIANT COMPUTER SYSTEMS CP,1982,,0,72812000,370,1460,0.7424650192260740,-1.247694969177250,9851000,5,3,1,1,Craig J. Mundie,1,0,0,1,0,0,0,0,0
