"YEAR","FIRMNAME","fivefirmid","FIRMID","CUSIPHEADERID","CUSIPHeaderName","CUSIPHISTORYID","CUSIPHistoryName","productname","PRODUCTID","OS","CPU","BUS","MHZ","RAM","HD","MONITOR","PRICE"
1996,"Alpharel, Inc.",8,8,"29372R10","ENTERPRISE INFORMATICS INC","02079910","ALPHAREL INC","alphaview",46,0,0,7,,8000,207,0,400
1995,"Alpharel, Inc.",8,8,"29372R10","ENTERPRISE INFORMATICS INC","02079910","ALPHAREL INC","alphaview",46,0,0,7,,8000,207,0,400
1996,"Graphon Corp.",76,76,,,,,"graphon 14s",361,0,0,7,,640,,0,695
1995,"Phase X Systems, Inc.",128,128,,,,,"phase x px14m",845,0,0,7,,18000,,0,895
1995,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15b",747,0,0,7,,20000,,0,895
1995,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation fx14",380,0,0,7,,132000,40,0,899
1995,"Cail Systems",31,31,,,,,"cail viewstation fx14",115,0,0,7,,72000,,0,999
1996,"Cail Systems",31,31,,,,,"cail viewstation fx14",115,0,0,7,,72000,,0,999
1993,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation fx15",383,0,0,7,,72000,,0,1099
1994,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation fx15",383,0,0,7,,72000,,0,1099
1996,"Human Designed Systems, Inc.",80,80,,,,,"hds viewstation lx14c",396,0,0,7,,132000,40,0,1099
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation lx14c",396,7,15,7,,132000,40,0,1099
1994,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15b",747,0,0,7,,20000,,0,1195
1996,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15b",747,0,0,7,,20000,,0,1195
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation lx15c",397,7,15,7,,132000,40,0,1199
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation lx15c",397,7,15,7,,132000,40,0,1199
1994,"Alpharel, Inc.",8,8,"29372R10","ENTERPRISE INFORMATICS INC","02079910","ALPHAREL INC","the view markup and edit workstations",1176,0,0,7,,8000,207,0,1200
1992,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15s",749,0,0,7,,8000,,0,1245
1993,"Network Computing Devices, Inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15s",749,0,0,7,,8000,,0,1245
1992,"Datamedia Corp.",52,52,,,,,"colorscan/2",165,0,0,7,,780,,0,1350
1991,"Datamedia Corp.",52,52,,,,,"colorscan/2",165,0,0,7,,780,,0,1350
1995,"phase x systems, inc.",128,128,,,,,"phase x px14ca1",843,11,34,7,,16000,,0,1395
1995,"phase x systems, inc.",128,128,,,,,"phase x px19m",852,11,34,7,,18000,,0,1395
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17",387,7,15,7,,68000,,0,1399
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14c",381,7,15,7,,68000,,0,1399
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17",387,7,15,7,,132000,40,0,1399
1995,"cail systems",31,31,,,,,"cail viewstation fx14c",116,11,15,7,,72000,,0,1399
1996,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14c",381,7,15,7,,132000,40,0,1399
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14cl",382,7,15,7,,72000,,0,1399
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17",387,7,15,7,,68000,,0,1399
1995,"cail systems",31,31,,,,,"cail viewstation fx17",117,11,15,7,,72000,,0,1399
1996,"cail systems",31,31,,,,,"cail viewstation fx14c",116,11,15,7,,72000,,0,1399
1994,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14cl",382,7,15,7,,72000,,0,1399
1993,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14c",381,7,15,7,,68000,,0,1399
1996,"cail systems",31,31,,,,,"cail viewstation fx17",117,11,15,7,,72000,,0,1399
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx14c",381,7,15,7,,132000,40,0,1399
1995,"human designed systems, inc.",80,80,,,,,"hds viewstation fx17",387,7,15,7,,132000,40,0,1399
1996,"ASC systems",13,13,,,,,"interactive pc/media station",571,0,0,7,,64000,240,0,1480
1995,"ASC systems",13,13,,,,,"interactive pc/media station",571,0,0,7,,64000,240,0,1480
1995,"IBM",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 xstation 140",955,1,0,9,,68000,30,1,1490
1994,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15r",748,11,9,7,,20000,,0,1495
1995,"phase x systems, inc.",128,128,,,,,"phase x px19s",854,11,34,7,,18000,,0,1495
1993,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15b",747,11,22,7,,20000,,0,1495
1995,"phase x systems, inc.",128,128,,,,,"phase x px15ca1",846,11,34,7,,16000,,0,1495
1996,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15r",748,11,9,7,,20000,,0,1495
1992,"network computing devices, inc.",116,116,"64120N10","NETWORK COMPUTING DEVICES","64120N10","NETWORK COMPUTING DEVICES","ncd15b",747,11,22,7,,20000,,0,1495
